,song_name,song_id,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1434,Superstition,4dwrL3Z5U2RZ6MZiKE2PgL,Stevie Wonder,0.648,0.751,8,-8.582,1,0.0806,0.0182,0.000401,0.0418,0.863,100.437,audio_features,4dwrL3Z5U2RZ6MZiKE2PgL,spotify:track:4dwrL3Z5U2RZ6MZiKE2PgL,https://api.spotify.com/v1/tracks/4dwrL3Z5U2RZ6MZiKE2PgL,https://api.spotify.com/v1/audio-analysis/4dwrL3Z5U2RZ6MZiKE2PgL,244827,4
1435,Carry on Wayward Son,2SUpC3UgKwLVOS2FtZif9N,Kansas,0.452,0.788,7,-5.712,1,0.0326,0.00283,0.000116,0.441,0.793,126.739,audio_features,2SUpC3UgKwLVOS2FtZif9N,spotify:track:2SUpC3UgKwLVOS2FtZif9N,https://api.spotify.com/v1/tracks/2SUpC3UgKwLVOS2FtZif9N,https://api.spotify.com/v1/audio-analysis/2SUpC3UgKwLVOS2FtZif9N,322093,4
1436,Don't Stop 'Til You Get Enough,6AZZzlQD1FThgAcWIgu3g1,Michael Jackson,0.884,0.928,11,-4.569,1,0.0877,0.0672,0.0152,0.054,0.914,119.354,audio_features,6AZZzlQD1FThgAcWIgu3g1,spotify:track:6AZZzlQD1FThgAcWIgu3g1,https://api.spotify.com/v1/tracks/6AZZzlQD1FThgAcWIgu3g1,https://api.spotify.com/v1/audio-analysis/6AZZzlQD1FThgAcWIgu3g1,351347,4
1437,Black Betty,2ZOTtG7v1OrSNs6EINIGb4,Ram Jam,0.465,0.865,11,-9.573,0,0.098,0.018,0.00135,0.0769,0.677,117.528,audio_features,2ZOTtG7v1OrSNs6EINIGb4,spotify:track:2ZOTtG7v1OrSNs6EINIGb4,https://api.spotify.com/v1/tracks/2ZOTtG7v1OrSNs6EINIGb4,https://api.spotify.com/v1/audio-analysis/2ZOTtG7v1OrSNs6EINIGb4,237893,4
1438,50 Ways to Leave Your Lover,7bdDULyOUqNyWu6XPeAnSO,Paul Simon,0.816,0.383,7,-12.398,1,0.064,0.19,4.19e-05,0.0974,0.341,101.631,audio_features,7bdDULyOUqNyWu6XPeAnSO,spotify:track:7bdDULyOUqNyWu6XPeAnSO,https://api.spotify.com/v1/tracks/7bdDULyOUqNyWu6XPeAnSO,https://api.spotify.com/v1/audio-analysis/7bdDULyOUqNyWu6XPeAnSO,208160,4
1439,Suspicious Minds,3rSsfex84o72wsK1rTWOo1,Elvis Presley,0.482,0.505,7,-6.465,1,0.0287,0.0419,2.95e-06,0.555,0.719,116.382,audio_features,3rSsfex84o72wsK1rTWOo1,spotify:track:3rSsfex84o72wsK1rTWOo1,https://api.spotify.com/v1/tracks/3rSsfex84o72wsK1rTWOo1,https://api.spotify.com/v1/audio-analysis/3rSsfex84o72wsK1rTWOo1,270773,4
1440,"You're The One That I Want - From ""Grease"" Original Motion Picture Soundtrack",3khUMqi9iGgOpgReFwjbZl,John Travolta,0.754,0.747,0,-8.061,1,0.0885,0.212,0.000637,0.211,0.82,107.043,audio_features,3khUMqi9iGgOpgReFwjbZl,spotify:track:3khUMqi9iGgOpgReFwjbZl,https://api.spotify.com/v1/tracks/3khUMqi9iGgOpgReFwjbZl,https://api.spotify.com/v1/audio-analysis/3khUMqi9iGgOpgReFwjbZl,168467,4
1441,Mercedes Benz,1GLBsX2m62PudMOwgIXslV,Janis Joplin,0.695,0.113,7,-15.141,0,0.572,0.935,0.0,0.0717,0.448,88.302,audio_features,1GLBsX2m62PudMOwgIXslV,spotify:track:1GLBsX2m62PudMOwgIXslV,https://api.spotify.com/v1/tracks/1GLBsX2m62PudMOwgIXslV,https://api.spotify.com/v1/audio-analysis/1GLBsX2m62PudMOwgIXslV,105800,4
1442,When Will I See You Again,2k3b3uzuEQJLmSV9BlSZTM,The Three Degrees,0.541,0.596,9,-10.944,1,0.0336,0.576,0.00559,0.283,0.776,120.645,audio_features,2k3b3uzuEQJLmSV9BlSZTM,spotify:track:2k3b3uzuEQJLmSV9BlSZTM,https://api.spotify.com/v1/tracks/2k3b3uzuEQJLmSV9BlSZTM,https://api.spotify.com/v1/audio-analysis/2k3b3uzuEQJLmSV9BlSZTM,178467,4
1443,You're so Vain,564Z6w6IbtUnIO4QLg4y3P,Carly Simon,0.659,0.678,0,-8.18,1,0.0313,0.157,6.69e-06,0.0784,0.647,106.186,audio_features,564Z6w6IbtUnIO4QLg4y3P,spotify:track:564Z6w6IbtUnIO4QLg4y3P,https://api.spotify.com/v1/tracks/564Z6w6IbtUnIO4QLg4y3P,https://api.spotify.com/v1/audio-analysis/564Z6w6IbtUnIO4QLg4y3P,258411,4
1444,Kung Fu Fighting,40hgbG1iX08Apyy0FesR7p,Carl Douglas,0.598,0.673,2,-10.431,1,0.0693,0.0422,6.84e-05,0.289,0.59,102.035,audio_features,40hgbG1iX08Apyy0FesR7p,spotify:track:40hgbG1iX08Apyy0FesR7p,https://api.spotify.com/v1/tracks/40hgbG1iX08Apyy0FesR7p,https://api.spotify.com/v1/audio-analysis/40hgbG1iX08Apyy0FesR7p,197693,4
1445,All By Myself - Remastered,4J66e01EF7kRqVQAhwXCsd,Eric Carmen,0.376,0.369,7,-9.182,0,0.0309,0.84,0.804,0.133,0.0963,116.09,audio_features,4J66e01EF7kRqVQAhwXCsd,spotify:track:4J66e01EF7kRqVQAhwXCsd,https://api.spotify.com/v1/tracks/4J66e01EF7kRqVQAhwXCsd,https://api.spotify.com/v1/audio-analysis/4J66e01EF7kRqVQAhwXCsd,430000,4
1446,Give A Little Bit,6XUHsYE38CEbYunT983O9G,Supertramp,0.531,0.818,2,-5.358,1,0.0452,0.0694,0.0096,0.263,0.471,90.767,audio_features,6XUHsYE38CEbYunT983O9G,spotify:track:6XUHsYE38CEbYunT983O9G,https://api.spotify.com/v1/tracks/6XUHsYE38CEbYunT983O9G,https://api.spotify.com/v1/audio-analysis/6XUHsYE38CEbYunT983O9G,248173,4
